step,strain,stress
reloading5,0.0487387354,407.4037326214
reloading5,0.0489434224,440.680328419
reloading5,0.0490980058,473.0589424074
reloading5,0.0491526408,505.4406635992
reloading5,0.0495572245,538.7110449898
reloading5,0.0496614453,568.3926063471
reloading5,0.049916236,602.5671839539
reloading5,0.0499706121,633.1498343239
reloading5,0.0500251176,664.6320201049
reloading5,0.050329753,697.9055086989
reloading5,0.0505343106,730.2825690856
reloading5,0.0506885055,759.9625768411
reloading5,0.0509431668,793.237619037
reloading5,0.0512472843,822.9129659873
reloading5,0.0513020488,856.1942225901
reloading5,0.0515069947,891.2698892096
reloading5,0.0518109828,920.045700749
reloading5,0.0521654629,952.4181003304
reloading5,0.0523199168,983.8971789078
reloading5,0.0525744486,1016.2726856927
reloading5,0.0529285403,1045.9464790413
reloading5,0.0532335641,1081.9185738682
reloading5,0.0538872421,1109.7839747844
loading6,0.0549901698,1134.0372516412
loading6,0.056690587,1142.9797832912
loading6,0.0584390363,1138.4277301754
loading6,0.0601882624,1139.2728895253
loading6,0.0619879805,1143.7146369171
unloading6,0.0633350827,1128.380587684
unloading6,0.0634304997,1096.8937410979
unloading6,0.0632262011,1066.3157515331
unloading6,0.0629716693,1033.9402447482
unloading6,0.0626669045,999.7672207432
unloading6,0.0623629164,970.9914092038
unloading6,0.0623081519,937.710152601
unloading6,0.0622038017,907.1290558327
unloading6,0.0618992957,874.7551026496
unloading6,0.0618947644,843.2713632669
unloading6,0.0617400516,809.9932138676
unloading6,0.0613857009,778.5203496971
unloading6,0.0612812212,747.0397175179
unloading6,0.0611764825,713.7600145169
unloading6,0.0609720544,682.2824895412
unloading6,0.060667419,649.0090009471
unloading6,0.0605630688,618.4279041788
unloading6,0.0602584334,585.1544155847
unloading6,0.0600540053,553.676890609
unloading6,0.059949655,523.0957938408
unloading6,0.059744968,489.8191980432
unloading6,0.0594403326,456.5457094491
unloading6,0.0592858787,425.0666308717
unloading6,0.0591312953,392.6880168833
unloading6,0.0589269967,362.1100273185
unloading6,0.0586223613,328.8365387245
unloading6,0.0583178553,296.4625855413
unloading6,0.0583634276,265.8768279678
unloading6,0.0581088959,233.5013211829
unloading6,0.0577047005,202.9295460251
unloading6,0.0575001429,170.5524856385
unloading6,0.0572953264,136.37635443
unloading6,0.0569409758,104.9034902595
unloading6,0.0566868324,75.2265897075
unloading6,0.0562322744,41.9577619186
reloading6,0.0556786744,14.9887892098
reloading6,0.0555820921,38.3798170976
reloading6,0.0559364428,69.852681268
reloading6,0.0561410003,102.2297416547
reloading6,0.0563954026,133.7057130286
reloading6,0.0565002707,167.8849514406
reloading6,0.0567046988,199.3624764163
reloading6,0.0569089975,229.9404659811
reloading6,0.0571136845,263.2170617787
reloading6,0.0573181126,294.6945867544
reloading6,0.0575727738,327.9696289502
reloading6,0.0577770724,358.547618515
reloading6,0.0579315263,390.0266970924
reloading6,0.0581360839,422.403757479
reloading6,0.0582906673,454.7823714674
reloading6,0.0583453023,487.1640926593
reloading6,0.0586498082,519.5380458424
reloading6,0.0587047022,553.7188378562
reloading6,0.0588587677,582.4993102008
reloading6,0.0591634031,615.7727987949
reloading6,0.0593675722,645.4512529487
reloading6,0.0595221556,677.8298669371
reloading6,0.0597268426,711.1064627347
reloading6,0.0599812449,742.5824341086
reloading6,0.0602359061,775.8574763045
reloading6,0.0604403342,807.3350012802
reloading6,0.060444995,839.7182760738
reloading6,0.0606993973,871.1942474477
reloading6,0.0609539291,903.5697542326
reloading6,0.0613581245,934.1415293904
reloading6,0.06141263,965.6237151714
reloading6,0.0618170843,997.994561151
reloading6,0.0618715898,1029.476746932
reloading6,0.0624260962,1062.7424675173
reloading6,0.0628301621,1092.4147072642
reloading6,0.0633354711,1131.0791939169
loading7,0.06428757,1149.0403837024
loading7,0.0660380908,1158.8808971615
loading7,0.0677370838,1157.9285392912
loading7,0.0693861026,1156.9777350227
loading7,0.0712853807,1158.7177689782
loading7,0.0728836485,1152.3713058458
unloading7,0.0728727712,1118.4626054274
unloading7,0.0725226515,1085.8310029307
unloading7,0.0723454663,1054.7484283765
unloading7,0.0720819258,1023.6685384461
unloading7,0.0719908723,991.0288820779
unloading7,0.0718136871,959.9463075237
unloading7,0.0717226336,927.3066511555
unloading7,0.0714588693,894.672364035
unloading7,0.0711955525,865.1468712947
unloading7,0.0710181436,832.5098995503
unloading7,0.0707543793,799.8756124298
unloading7,0.0707496812,767.2332714378
unloading7,0.0704861406,736.1533815074
unloading7,0.0703950871,703.5137251393
unloading7,0.0701315466,672.4338352088
unloading7,0.0699541377,639.7968634645
unloading7,0.0696903734,607.162576344
unloading7,0.0695993199,574.5229199758
unloading7,0.0694223584,544.9947426117
unloading7,0.0692449496,512.3577708674
unloading7,0.0690673169,478.1664019329
unloading7,0.0688035527,445.5321148124
unloading7,0.0687127229,414.4468556344
unloading7,0.0682762478,381.8179377615
unloading7,0.0680988389,349.1809660171
unloading7,0.0679218774,319.652788653
unloading7,0.0677444686,287.0158169087
unloading7,0.0674807043,254.3815297881
unloading7,0.0674804805,252.827132598
unloading7,0.0672171637,223.3016398577
unloading7,0.0670402022,193.7734624936
unloading7,0.0667762142,159.584778183
unloading7,0.0663401866,130.0646546903
unloading7,0.0660761986,95.8759703797
unloading7,0.0658124343,63.2416832591
unloading7,0.0654623146,30.6100807624
unloading7,0.0649399315,1.0926418936
reloading7,0.0649401553,2.6470390836
reloading7,0.0650307613,32.1779010716
reloading7,0.0652081702,64.8148728159
reloading7,0.0652992237,97.4545291841
reloading7,0.0654766326,130.0915009284
reloading7,0.0657403969,162.725788049
reloading7,0.065917582,193.8083626032
reloading7,0.0660086355,226.4480189713
reloading7,0.0662723998,259.0823060919
reloading7,0.0664498087,291.7192778362
reloading7,0.0666267702,321.2474552003
reloading7,0.0668041791,353.8844269447
reloading7,0.0669813642,384.9670014989
reloading7,0.0671589968,419.1583704333
reloading7,0.0672496029,448.6892324213
reloading7,0.0675133672,481.3235195418
reloading7,0.0677771315,513.9578066623
reloading7,0.0678684087,548.1518602206
reloading7,0.0680455939,579.2344347748
reloading7,0.0683091344,610.3143247053
reloading7,0.0684863196,641.3968992595
reloading7,0.0687505313,677.1399807602
reloading7,0.0690138482,706.6654735005
reloading7,0.0691914808,740.856842435
reloading7,0.0694550214,771.9367323654
reloading7,0.0695458511,803.0219915434
reloading7,0.0699823262,835.6509094163
reloading7,0.0701595114,866.7334839706
reloading7,0.0704232757,899.3677710911
reloading7,0.0706868163,930.4476610215
reloading7,0.0709503568,961.5275509519
reloading7,0.0712138974,992.6074408823
reloading7,0.0714778854,1026.796125193
reloading7,0.0717412023,1056.3216179333
reloading7,0.0719186112,1088.9585896776
reloading7,0.0724412179,1120.0304257366
reloading7,0.0729638247,1151.1022617956
loading8,0.0740893532,1171.2745251572
loading8,0.075989172,1171.2154634332
loading8,0.07771628,1171.1617709569
loading8,0.0795297434,1171.1053938567
loading8,0.0812568514,1171.0517013804
unloading8,0.0822040762,1152.3694042372
unloading8,0.0819403119,1119.7351171167
unloading8,0.0816767713,1088.6552271863
unloading8,0.0814132307,1057.5753372559
unloading8,0.0813221772,1024.9356808877
unloading8,0.0810584129,992.3013937672
unloading8,0.0809675832,961.2161345891
unloading8,0.0808765297,928.576478221
unloading8,0.0805266337,897.4992729144
unloading8,0.0804355802,864.8596165462
unloading8,0.0802581713,832.2226448019
unloading8,0.0800812099,802.6944674378
unloading8,0.0798176693,771.6145775073
unloading8,0.079639813,735.8688113828
unloading8,0.0792037853,706.3486878901
unloading8,0.0791129555,675.2634287121
unloading8,0.0789355467,642.6264569677
unloading8,0.0788444932,609.9868005996
unloading8,0.0787536634,578.9015414215
unloading8,0.0783171883,546.2726235486
unloading8,0.0782263585,515.1873643706
unloading8,0.078135305,482.5477080024
unloading8,0.0778715408,449.9134208819
unloading8,0.0776939081,415.7220519475
unloading8,0.077516723,384.6394773932
unloading8,0.0772529587,352.0051902727
unloading8,0.0769894181,320.9253003423
unloading8,0.0767256538,288.2910132218
unloading8,0.0765484686,257.2084386675
unloading8,0.0761985727,226.1312333609
unloading8,0.0761938746,193.488892369
unloading8,0.0758437549,160.8572898723
unloading8,0.075666346,128.2203181279
unloading8,0.0754028054,97.1404281975
unloading8,0.0750529095,66.0632228909
unloading8,0.0747030135,34.9860175843
unloading8,0.074094275,5.4712633392
reloading8,0.0740940513,3.9168661491
reloading8,0.0740985257,35.004809951
reloading8,0.0741893555,66.0900691291
reloading8,0.0744531198,98.7243562496
reloading8,0.0746303049,129.8069308038
reloading8,0.0748936218,159.3324235442
reloading8,0.0751576098,193.5211078548
reloading8,0.0752486633,226.1607642229
reloading8,0.0755122039,257.2406541533
reloading8,0.0756030336,288.3259133314
reloading8,0.0757806662,322.5172822658
reloading8,0.0761307859,355.1488847625
